name,value,亞洲,美洲,歐洲,大洋洲,非洲
2013,11052908,10388937,446595,119800,97120,14
2014,11844635,11095664,495479,133677,116342,13
2015,13182976,12353288,548267,161529,118390,30
2016,14588923,13539067,623191,258087,157726,5206
2017,15654579,14253762,697361,496529,184317,16740
2018,16644684,15152547,710039,537777,224274,16649
2019,17101335,15757473,676520,363583,228135,27
2020,2335564,2038522,175736,59773,52488,23
2021,359977,232736,114339,7139,4833,65
2022,1482821,1137862,250502,57536,35582,205
2023,11795834,10752314,543463,311041,169510,340
