年度,洲別,name,value
110,美洲,加拿大,"3,980"
110,美洲,美國,"19,673"
110,美洲,宏都拉斯,10
110,美洲,貝里斯,2
110,美洲,聖克里斯多福及尼維斯,4
110,美洲,聖露西亞,4
110,亞洲,日本,"7,174"
110,亞洲,韓國,"1,558"
110,亞洲,菲律賓,27
110,亞洲,越南,1
110,亞洲,泰國,332
110,亞洲,印尼,6
110,亞洲,馬來西亞,470
110,亞洲,新加坡,63
110,亞洲,印度,11
110,亞洲,杜拜,45
110,亞洲,土耳其,13
110,亞洲,沙烏地阿拉伯,6
110,亞洲,帛琉,9
110,亞洲,阿曼,1
110,亞洲,約旦,5
110,亞洲,蒙古,1
110,大洋洲,澳大利亞,"15,582"
110,大洋洲,紐西蘭,635
110,大洋洲,斐濟,1
110,大洋洲,馬紹爾群島共和國,1
110,歐洲,英國,"4,185"
110,歐洲,愛爾蘭,21
110,歐洲,法國,363
110,歐洲,義大利,3
110,歐洲,西班牙,405
110,歐洲,德國,"2,862"
110,歐洲,捷克,244
110,歐洲,荷蘭,481
110,歐洲,比利時,183
110,歐洲,以色列,22
110,歐洲,瑞士,200
110,歐洲,奧地利,366
110,歐洲,波蘭,923
110,歐洲,?陶宛,3
110,歐洲,拉托維亞,12
110,歐洲,愛沙尼亞,14
110,歐洲,丹麥,17
110,歐洲,挪威,12
110,歐洲,瑞典,147
110,歐洲,芬蘭,29
110,歐洲,俄羅斯,38
110,歐洲,烏克蘭,10
110,歐洲,葡萄牙,3
110,歐洲,匈牙利,150
